full_name,selling_price,year,km_driven,fuel_type,mileage,max_power,company
Maruti Alto Std,120000.0,2012.0,120000.0,Petrol,19.7,46.3,Maruti
Hyundai Grand i10 Asta,550000.0,2016.0,20000.0,Petrol,18.9,82.0,Hyundai
Hyundai i20 Asta,215000.0,2010.0,60000.0,Petrol,17.0,80.0,Hyundai
Maruti Alto K10 2010-2014 VXI,225999.99999999997,2012.0,37000.0,Petrol,20.92,67.1,Maruti
Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,570000.0,2015.0,30000.0,Diesel,22.77,98.59,Ford
Maruti Wagon R VXI BS IV,350000.0,2013.0,35000.0,Petrol,18.9,67.1,Maruti
Hyundai i10 Sportz 1.2,315000.0,2013.0,40000.0,Petrol,20.36,78.9,Hyundai
Maruti Wagon R VXI,409999.99999999994,2018.0,17512.0,Petrol,20.51,67.04,Maruti
Hyundai Venue SX Plus Turbo DCT BSIV,1050000.0,2019.0,20000.0,Petrol,18.15,118.35,Hyundai
Mahindra TUV 300 T6,575000.0,2017.0,70000.0,Diesel,18.49,100.0,Mahindra
Tata Indigo LX (TDI) BS-III,305000.0,2015.0,50000.0,Diesel,19.09,69.01,Tata
Renault Captur Platine Dual Tone Diesel,1150000.0,2019.0,18000.0,Diesel,20.37,108.49,Renault
Maruti Swift VXI with ABS,511000.00000000006,2017.0,28321.0,Petrol,16.6,85.0,Maruti
Nissan Micra XL CVT,409999.99999999994,2016.0,27000.0,Petrol,19.34,76.0,Nissan
Hyundai Verna 1.6 SX,425000.0,2013.0,65278.0,Diesel,22.32,126.32,Hyundai
Renault Duster 110PS Diesel RxL Explore,750000.0,2016.0,50000.0,Diesel,19.64,108.45,Renault
Mini Cooper Cooper S,3250000.0,2017.0,6000.0,Petrol,14.41,189.08,Mini
Maruti Ciaz ZDi Plus SHVS,650000.0,2016.0,76000.0,Diesel,28.09,88.5,Maruti
Maruti Swift VDI BSIV,627000.0,2016.0,20000.0,Diesel,25.2,74.0,Maruti
Mercedes-Benz C-Class C 220 CDI Avantgarde,1425000.0,2014.0,65000.0,Diesel,19.27,170.0,Mercedes-Benz
Maruti Swift VDI,425000.0,2014.0,62200.0,Diesel,28.4,74.0,Maruti
Toyota Innova 2.5 GX (Diesel) 8 Seater,605000.0,2013.0,110000.0,Diesel,12.99,100.6,Toyota
Maruti Baleno Zeta 1.2,600000.0,2015.0,20000.0,Petrol,21.4,83.1,Maruti
Maruti Swift Dzire VXI,575000.0,2016.0,40000.0,Petrol,20.85,83.14,Maruti
Fiat Grande Punto 1.3 Emotion Pack (Diesel),260000.0,2012.0,97000.0,Diesel,17.8,76.0,Fiat
Volkswagen Vento 1.6 Comfortline BSIV,425000.0,2013.0,47000.0,Petrol,16.09,103.2,Volkswagen
Maruti Alto K10 2010-2014 VXI,229999.99999999997,2013.0,25000.0,Petrol,20.92,67.1,Maruti
Hyundai Creta 1.6 CRDi SX,1225000.0,2019.0,15000.0,Diesel,19.67,126.2,Hyundai
Mahindra Xylo H9,375000.0,2010.0,56823.0,Diesel,14.02,118.3,Mahindra
Honda City i VTEC VX,750000.0,2015.0,50000.0,Petrol,17.4,117.3,Honda
Mahindra Bolero SLE BSIII,350000.0,2011.0,25000.0,Diesel,13.6,63.0,Mahindra
Maruti Swift Dzire VDI,600000.0,2015.0,90000.0,Diesel,26.59,74.0,Maruti
Maruti Swift Dzire LDI,390000.0,2013.0,45000.0,Diesel,26.59,74.0,Maruti
Honda City 2017-2020 GXi,145000.0,2007.0,77253.0,Petrol,17.7,78.0,Honda
Hyundai i20 Active 1.2 SX,700000.0,2018.0,25000.0,Petrol,17.19,81.86,Hyundai
Toyota Fortuner 4x2 Manual,1150000.0,2013.0,110000.0,Diesel,13.0,168.5,Toyota
Renault KWID Climber 1.0 MT,340000.0,2017.0,30000.0,Petrol,23.01,67.0,Renault
Honda Amaze S Petrol,465000.00000000006,2016.0,39993.0,Petrol,18.6,88.76,Honda
Hyundai Santro Xing GLS,125000.0,2009.0,80000.0,Petrol,17.92,62.1,Hyundai
Mahindra XUV500 W8 2WD,600000.0,2012.0,185000.0,Diesel,15.1,140.0,Mahindra
Maruti Swift Dzire VDI,380000.0,2013.0,90000.0,Diesel,23.4,74.0,Maruti
Mahindra Xylo E8,400000.0,2009.0,60000.0,Diesel,14.0,112.0,Mahindra
Chevrolet Sail 1.3 Base,300000.0,2014.0,90000.0,Diesel,22.1,74.0,Chevrolet
Hyundai Xcent 1.2 Kappa SX,500000.0,2015.0,20000.0,Petrol,19.1,82.0,Hyundai
Hyundai i20 1.4 Asta Option,850000.0,2018.0,15000.0,Diesel,22.54,88.73,Hyundai
Hyundai i20 1.2 Magna Executive,598000.0,2018.0,40000.0,Petrol,18.6,81.83,Hyundai
Honda City i VTEC CVT SV,700000.0,2015.0,31180.0,Petrol,18.0,117.3,Honda
Mahindra TUV 300 mHAWK100 T8 AMT,900000.0,2018.0,40000.0,Diesel,18.49,100.0,Mahindra
Tata Indigo LS TDI BSIII,300000.0,2015.0,58000.0,Diesel,19.09,69.0,Tata
Maruti Swift Dzire ZDI,409999.99999999994,2014.0,56000.0,Diesel,23.4,74.0,Maruti
Fiat Grande Punto 1.3 Emotion Pack 90HP (Diesel),300000.0,2011.0,93000.0,Diesel,20.5,91.7,Fiat
Ambassador Avigo 1800 ISZ MPFI AC,225000.0,2010.0,86000.0,Petrol,12.2,75.0,Ambassador
Maruti Baleno Zeta Automatic,590000.0,2016.0,52427.0,Petrol,21.4,83.1,Maruti
Mahindra Bolero B6,850000.0,2020.0,40000.0,Diesel,21.0,74.96,Mahindra
Tata Nano Cx BSIV,108000.0,2011.0,70000.0,Petrol,26.0,35.0,Tata
Mahindra KUV100 NXT G80 K8 5Str BSIV,550000.0,2018.0,17000.0,Petrol,18.15,82.0,Mahindra
Toyota Etios G,325000.0,2012.0,54325.0,Petrol,17.6,88.73,Toyota
Maruti Baleno Vxi - BSIII,625000.0,2016.0,22000.0,Petrol,15.4,94.0,Maruti
Maruti Swift Dzire ZXI,600000.0,2016.0,54000.0,Petrol,20.85,83.14,Maruti
Maruti Wagon R LXI Optional,445000.0,2019.0,10000.0,Petrol,20.51,67.04,Maruti
Maruti Ignis 1.2 Delta BSIV,530000.0,2019.0,20000.0,Petrol,20.89,81.8,Maruti
Toyota Corolla Altis GL,385000.0,2011.0,61000.0,Petrol,14.53,138.1,Toyota
Maruti Wagon R LXI CNG,409999.99999999994,2018.0,53237.0,CNG,26.6,58.16,Maruti
Datsun RediGO Gold 1.0,350000.0,2018.0,27263.0,Petrol,22.5,68.0,Datsun
Tata Indigo eLX BS IV,265000.0,2014.0,90000.0,Diesel,25.0,69.01,Tata
Hyundai Verna 1.6 CRDI,520000.0,2014.0,110000.0,Diesel,22.32,126.3,Hyundai
Hyundai i20 Asta Option 1.4 CRDi,750000.0,2016.0,70000.0,Diesel,22.54,88.73,Hyundai
Maruti Swift Dzire VDI,560000.0,2017.0,70000.0,Diesel,26.59,74.0,Maruti
Tata Vista TDI LS,200000.0,2014.0,190000.0,Diesel,19.1,70.0,Tata
Hyundai Xcent 1.2 CRDi SX,600000.0,2017.0,40000.0,Diesel,25.4,73.97,Hyundai
Hyundai i20 1.2 Spotz,655000.0,2019.0,39000.0,Petrol,18.6,81.83,Hyundai
Hyundai Santro Xing XE,125000.0,2007.0,56000.0,Petrol,17.8,63.0,Hyundai
Toyota Corolla Altis 1.8 VL AT,425000.0,2009.0,58000.0,Petrol,14.53,138.1,Toyota
Maruti Omni E MPI STD BS IV,220000.00000000003,2017.0,40000.0,Petrol,16.8,34.2,Maruti
Hyundai i20 1.2 Spotz,550000.0,2018.0,34000.0,Petrol,18.6,81.83,Hyundai
Mahindra Scorpio 1.99 S10,1150000.0,2017.0,50000.0,Diesel,15.4,120.0,Mahindra
